iter	Passed	Remaining
455	963	1149
456	964	1145
457	965	1142
458	966	1138
459	968	1137
460	970	1134
461	971	1131
462	973	1128
463	974	1125
464	975	1122
465	976	1118
466	977	1115
467	978	1112
468	979	1108
469	980	1105
470	982	1103
471	984	1101
472	986	1098
473	987	1095
474	988	1092
475	990	1090
476	991	1087
477	993	1084
478	994	1081
479	995	1078
480	997	1076
481	999	1074
482	1001	1071
483	1002	1068
484	1003	1065
485	1005	1062
486	1006	1060
487	1007	1057
488	1008	1054
489	1010	1051
490	1014	1051
491	1016	1049
492	1018	1046
493	1020	1045
494	1021	1042
495	1023	1039
496	1024	1037
497	1029	1037
498	1031	1035
499	1033	1033
500	1034	1030
501	1035	1027
502	1037	1024
503	1038	1021
504	1039	1019
505	1045	1020
506	1047	1018
507	1049	1016
508	1050	1013
509	1051	1010
510	1052	1007
511	1053	1004
512	1055	1001
513	1061	1003
514	1063	1001
515	1065	998
516	1066	995
517	1067	993
518	1068	990
519	1069	987
520	1071	984
521	1077	986
522	1079	984
523	1080	981
524	1082	979
525	1084	977
526	1096	984
527	1099	982
528	1104	983
529	1106	981
530	1109	979
531	1112	978
532	1115	977
533	1122	979
534	1126	978
535	1127	976
536	1129	973
537	1139	978
538	1141	976
539	1144	974
540	1145	972
541	1148	970
542	1151	968
543	1154	967
544	1156	965
545	1158	962
546	1159	960
547	1164	960
548	1165	957
549	1170	957
550	1173	956
551	1182	959
552	1184	957
553	1187	956
554	1190	954
555	1192	952
556	1195	950
557	1197	948
558	1199	946
559	1201	944
560	1206	943
561	1213	945
562	1215	943
563	1216	940
564	1218	938
565	1221	936
566	1224	934
567	1230	935
568	1231	932
569	1233	930
570	1234	927
571	1236	925
572	1246	928
573	1247	926
574	1249	923
575	1250	920
576	1251	917
577	1256	917
578	1258	915
579	1262	914
580	1263	911
581	1265	908
582	1271	909
583	1273	907
584	1275	905
585	1277	902
586	1278	899
587	1280	896
588	1282	894
589	1288	895
590	1289	892
591	1291	889
592	1292	887
593	1294	884
594	1301	886
595	1305	884
596	1308	882
597	1309	880
598	1313	879
599	1317	878
600	1319	875
601	1320	873
602	1323	871
603	1325	868
604	1329	867
605	1334	867
606	1336	865
607	1337	862
608	1338	859
609	1343	858
610	1348	858
611	1350	855
612	1351	853
613	1353	850
614	1354	848
615	1358	847
616	1362	845
617	1364	843
618	1366	840
619	1367	838
620	1368	835
621	1369	832
622	1375	832
623	1377	830
624	1379	827
625	1380	824
626	1382	822
627	1383	819
628	1390	820
629	1396	819
630	1397	817
631	1398	814
632	1399	811
633	1405	811
634	1407	809
635	1409	806
636	1410	803
637	1411	801
638	1413	798
639	1414	795
640	1421	796
641	1423	793
642	1425	791
643	1426	788
644	1428	786
645	1429	783
646	1430	780
647	1436	780
648	1438	778
649	1440	775
650	1441	772
651	1442	770
652	1444	767
653	1445	764
654	1446	761
655	1452	761
656	1454	759
657	1455	756
658	1457	753
659	1458	751
660	1459	748
661	1460	745
662	1467	745
663	1469	743
664	1471	741
665	1472	738
666	1473	735
667	1474	733
668	1476	730
669	1483	730
670	1485	728
671	1486	725
672	1487	722
673	1489	720
674	1490	717
675	1496	717
676	1498	714
677	1499	712
678	1501	709
679	1502	707
680	1504	704
681	1505	701
682	1511	701
683	1513	699
684	1515	696
685	1516	694
686	1518	691
687	1519	689
688	1529	690
689	1530	687
690	1532	685
691	1533	682
692	1535	680
693	1537	677
694	1540	676
695	1542	673
696	1543	671
697	1545	668
698	1546	665
699	1547	663
700	1549	660
701	1550	658
702	1554	656
703	1557	654
704	1558	652
705	1560	649
706	1561	647
707	1562	644
708	1564	641
709	1565	639
710	1568	637
711	1571	635
712	1573	633
713	1574	630
714	1576	628
715	1577	625
716	1578	623
717	1579	620
718	1583	618
719	1586	617
720	1588	614
721	1589	612
722	1590	609
723	1592	606
724	1593	604
725	1594	601
726	1599	600
727	1601	598
728	1602	595
729	1604	593
730	1605	590
731	1606	588
732	1607	585
733	1608	582
734	1609	580
735	1616	579
736	1618	577
737	1619	574
738	1620	572
739	1621	569
740	1622	567
741	1623	564
742	1625	562
743	1629	560
744	1630	558
745	1631	555
746	1633	553
747	1634	550
748	1635	548
749	1636	545
750	1639	543
751	1642	541
752	1644	539
753	1645	536
754	1646	534
755	1648	531
756	1649	529
757	1650	526
758	1651	524
759	1653	522
760	1655	519
761	1656	517
762	1657	514
763	1658	512
764	1660	510
765	1661	507
766	1663	505
767	1664	502
768	1665	500
769	1667	498
770	1669	495
771	1670	493
772	1672	491
773	1673	488
774	1674	486
775	1676	483
776	1677	481
777	1678	479
778	1679	476
779	1681	474
780	1682	471
781	1684	469
782	1686	467
783	1688	465
784	1689	462
785	1691	460
786	1692	457
787	1693	455
788	1694	453
789	1695	450
790	1696	448
791	1698	445
792	1701	444
793	1702	441
794	1704	439
795	1705	437
796	1706	434
797	1708	432
798	1709	430
799	1710	427
800	1716	426
801	1717	424
802	1718	421
803	1719	419
804	1720	416
805	1722	414
806	1723	412
807	1724	409
808	1726	407
809	1727	405
810	1729	402
811	1730	400
812	1731	398
813	1733	396
814	1734	393
815	1735	391
816	1736	389
817	1737	386
818	1738	384
819	1740	381
820	1741	379
821	1743	377
822	1745	375
823	1746	373
824	1748	370
825	1749	368
826	1750	366
827	1751	363
828	1752	361
829	1753	359
830	1754	356
831	1755	354
832	1756	352
833	1759	350
834	1761	348
835	1762	345
836	1763	343
837	1764	341
838	1765	338
839	1766	336
840	1768	334
841	1769	332
842	1770	329
843	1771	327
844	1773	325
845	1775	323
846	1777	321
847	1778	318
848	1779	316
849	1780	314
850	1781	311
851	1782	309
852	1785	307
853	1786	305
854	1788	303
855	1790	301
856	1792	299
857	1793	296
858	1794	294
859	1795	292
860	1796	290
861	1797	287
862	1798	285
863	1799	283
864	1801	281
865	1802	278
866	1805	276
867	1806	274
868	1807	272
869	1808	270
870	1809	268
871	1810	265
872	1811	263
873	1813	261
874	1814	259
875	1815	256
876	1816	254
877	1818	252
878	1819	250
879	1821	248
880	1822	246
881	1823	243
882	1824	241
883	1825	239
884	1826	237
885	1828	235
886	1829	233
887	1830	230
888	1834	229
889	1836	226
890	1837	224
891	1838	222
892	1839	220
893	1840	218
894	1841	216
895	1843	213
896	1844	211
897	1845	209
898	1847	207
899	1849	205
900	1851	203
901	1852	201
902	1853	199
903	1854	196
904	1855	194
905	1856	192
906	1857	190
907	1858	188
908	1859	186
909	1860	184
910	1863	182
911	1864	179
912	1865	177
913	1866	175
914	1867	173
915	1868	171
916	1869	169
917	1870	167
918	1871	164
919	1872	162
920	1873	160
921	1874	158
922	1875	156
923	1878	154
924	1880	152
925	1881	150
926	1882	148
927	1883	146
928	1884	144
929	1885	141
930	1886	139
931	1887	137
932	1888	135
933	1890	133
934	1891	131
935	1894	129
936	1895	127
937	1896	125
938	1898	123
939	1899	121
940	1900	119
941	1901	117
942	1902	115
943	1903	112
944	1904	110
945	1907	108
946	1908	106
947	1910	104
948	1911	102
949	1912	100
950	1913	98
951	1914	96
952	1916	94
953	1917	92
954	1918	90
955	1919	88
956	1922	86
957	1923	84
958	1925	82
959	1926	80
960	1927	78
961	1928	76
962	1929	74
963	1930	72
964	1931	70
965	1933	68
966	1934	66
967	1936	64
968	1939	62
969	1940	60
970	1941	57
971	1942	55
972	1943	53
973	1944	51
974	1945	49
975	1947	47
976	1948	45
977	1949	43
978	1952	41
979	1954	39
980	1955	37
981	1956	35
982	1957	33
983	1958	31
984	1959	29
985	1960	27
986	1961	25
987	1962	23
988	1965	21
989	1968	19
990	1970	17
991	1972	15
992	1974	13
993	1976	11
994	1977	9
995	1978	7
996	1980	5
997	1983	3
998	1984	1
999	1985	0
